pos,removed_pos_count,pos_appearance_count,relative_removal
NOUN,90677,140866,0.6437110445387816
PUNCT,67207,99473,0.6756305731203442
PROPN,54064,52578,1.0282627715013883
VERB,52222,85126,0.6134670958344102
PRON,42233,70815,0.596384946692085
ADP,37046,77708,0.47673341226128585
DET,33233,78634,0.4226288882671618
ADJ,31768,64146,0.49524522183768277
ADV,24449,46602,0.5246341358739969
AUX,20940,49666,0.42161639753553737
X,17458,3234,5.3982683982683985
CCONJ,11464,29062,0.39446700158282294
SCONJ,7297,16693,0.4371293356496735
PART,6467,23528,0.2748639918395104
NUM,4219,7805,0.5405509288917361
SYM,4091,698,5.861031518624642
INTJ,2959,2203,1.3431684067181118
SPACE,15,56,0.26785714285714285
