pos,removed_pos_count,pos_appearance_count,relative_removal
NOUN,121226,135001,0.8979637187872682
PUNCT,82074,95894,0.8558825369679021
VERB,72104,82212,0.8770495791368657
PROPN,71212,51999,1.3694878747668224
PRON,57157,68902,0.829540506806769
ADP,49321,75179,0.6560475664746804
DET,44121,75185,0.5868324798829554
ADJ,43831,61041,0.7180583542209334
ADV,33687,44861,0.7509195069213793
AUX,29146,48348,0.6028377595764044
X,24887,3473,7.165850849409733
CCONJ,14873,27927,0.5325670498084292
SCONJ,10605,16240,0.6530172413793104
PART,9079,22792,0.39834152334152334
SYM,8127,687,11.829694323144105
NUM,6070,7505,0.8087941372418388
INTJ,3780,2267,1.667401852668725
SPACE,15,66,0.22727272727272727
