token,removed_token_count,token_appearance_count,relative_removal
the,10738,31063,0.34568457650581075
.,10365,20313,0.5102643627233792
",",7628,23889,0.3193101427435221
a,5031,15472,0.3251680455015512
of,4366,13595,0.3211474806914307
br,4271,10996,0.3884139687158967
to,3936,12640,0.31139240506329113
and,3792,15176,0.24986821296784398
.<,3589,4351,0.8248678464720753
is,2801,10318,0.27146733863151773
in,2592,8894,0.29143242635484595
it,2566,8661,0.29627063849440016
-,2117,5260,0.40247148288973383
/,1944,5990,0.3245409015025042
that,1900,6531,0.29092022661154493
this,1757,6844,0.25672121566335476
><,1705,5453,0.3126719237117183
i,1669,6743,0.2475159424588462
's,1217,5706,0.21328426218016122
with,1165,4115,0.28311057108140947
but,1125,3925,0.28662420382165604
was,1121,3680,0.3046195652173913
as,1106,4551,0.24302351131619424
he,1001,2834,0.3532110091743119
on,985,3335,0.29535232383808097
for,908,4020,0.22587064676616916
"""",852,4286,0.19878674755016332
be,847,2577,0.3286767559177338
are,792,2840,0.27887323943661974
they,747,2039,0.36635605689063266
an,739,2172,0.3402394106813996
who,729,2034,0.3584070796460177
<,727,1104,0.6585144927536232
all,711,2502,0.2841726618705036
by,702,2179,0.3221661312528683
at,673,2293,0.29350196249454863
(,667,3048,0.21883202099737534
/>,632,5453,0.11589950485971025
one,630,2565,0.24561403508771928
have,600,2318,0.25884383088869717
't,579,2906,0.19924294562973158
you,558,3416,0.16334894613583137
so,536,1851,0.2895732036736899
from,535,1851,0.28903295515937333
),521,1559,0.3341885824246312
his,519,2774,0.18709444844989184
not,515,2643,0.19485433219825957
up,480,1294,0.37094281298299847
like,478,1789,0.267188373392957
she,459,1388,0.33069164265129686
out,453,1671,0.2710951526032316
!,452,1093,0.41354071363220496
about,426,1505,0.2830564784053156
or,413,1682,0.24554102259215219
has,409,1602,0.25530586766541824
very,408,1219,0.33470057424118127
s,407,1078,0.37755102040816324
).,400,595,0.6722689075630253
there,392,1695,0.2312684365781711
which,382,1124,0.3398576512455516
some,378,1423,0.2656359803232607
...,378,807,0.4684014869888476
',370,1405,0.26334519572953735
well,360,1015,0.35467980295566504
also,352,847,0.4155844155844156
no,348,1134,0.30687830687830686
time,340,1089,0.3122130394857668
?,337,860,0.3918604651162791
into,337,890,0.37865168539325844
more,335,1360,0.24632352941176472
movie,332,3628,0.09151047409040794
when,329,1324,0.24848942598187312
can,328,1334,0.24587706146926536
her,327,1778,0.18391451068616424
than,323,967,0.3340227507755946
just,323,1600,0.201875
much,315,868,0.3629032258064516
what,306,1378,0.2220609579100145
story,293,1127,0.25998225377107365
had,293,898,0.3262806236080178
then,291,696,0.41810344827586204
even,291,1111,0.2619261926192619
film,283,4200,0.06738095238095237
"),",282,554,0.5090252707581228
if,280,1700,0.16470588235294117
would,280,1003,0.27916251246261214
do,278,804,0.34577114427860695
their,277,1097,0.25250683682771197
we,273,968,0.28202479338842973
too,273,708,0.3855932203389831
good,266,1449,0.18357487922705315
make,262,755,0.34701986754966885
get,260,873,0.29782359679266895
man,260,839,0.3098927294398093
;,255,553,0.46112115732368897
most,254,833,0.304921968787515
them,251,743,0.33781965006729475
been,249,814,0.3058968058968059
other,248,839,0.29558998808104886
l,247,482,0.5124481327800829
were,245,902,0.27161862527716185
way,243,758,0.32058047493403696
him,242,816,0.2965686274509804
acting,241,561,0.4295900178253119
b,241,577,0.41767764298093585
don,238,777,0.3063063063063063
d,237,615,0.3853658536585366
g,233,518,0.4498069498069498
first,226,754,0.29973474801061006
