token,removed_token_count,token_appearance_count,relative_removal
.,2998,13298,0.22544743570461723
the,2213,19775,0.11190897597977244
",",2198,15166,0.1449294474482395
br,1584,6150,0.2575609756097561
of,1432,8668,0.1652053530226119
a,1408,9830,0.14323499491353
.<,1303,2427,0.5368768026370004
to,1265,8075,0.15665634674922602
and,1187,9797,0.1211595386342758
-,992,3344,0.2966507177033493
in,781,5654,0.13813229571984437
it,551,5439,0.10130538701967273
is,538,6535,0.08232593726090283
that,423,4099,0.10319590143937546
as,407,2996,0.13584779706275033
/,397,3419,0.11611582334015794
with,390,2605,0.14971209213051823
be,318,1651,0.19261053906723197
><,307,3042,0.10092044707429323
but,286,2546,0.11233307148468186
for,278,2585,0.10754352030947775
he,274,1825,0.15013698630136987
was,248,2249,0.11027123165851489
on,248,2062,0.12027158098933075
they,232,1281,0.18110850897736144
's,230,3602,0.06385341476957246
an,221,1393,0.15865039483129936
i,212,4215,0.05029655990510083
<,211,616,0.3425324675324675
/>,201,3042,0.06607495069033531
all,200,1529,0.13080444735120994
are,189,1806,0.10465116279069768
by,187,1421,0.13159746657283602
have,183,1482,0.12348178137651822
at,180,1460,0.1232876712328767
who,165,1310,0.12595419847328243
from,165,1199,0.13761467889908258
so,160,1176,0.1360544217687075
more,155,848,0.18278301886792453
this,140,4310,0.03248259860788863
one,129,1584,0.08143939393939394
't,124,1838,0.06746463547334058
like,121,1085,0.11152073732718894
up,121,833,0.1452581032412965
),116,1008,0.11507936507936507
or,115,1088,0.1056985294117647
).,115,358,0.32122905027932963
!,114,716,0.15921787709497207
out,110,1059,0.10387157695939565
not,107,1601,0.06683322923173017
she,106,882,0.12018140589569161
much,106,520,0.20384615384615384
some,104,877,0.11858608893956671
?,104,571,0.18213660245183888
s,101,657,0.1537290715372907
time,97,653,0.14854517611026033
h,95,346,0.2745664739884393
most,95,528,0.17992424242424243
has,94,1041,0.09029779058597502
you,93,2111,0.04405495026054003
than,93,599,0.15525876460767946
well,92,668,0.1377245508982036
too,92,467,0.19700214132762311
way,91,476,0.19117647058823528
get,91,527,0.17267552182163187
very,91,763,0.11926605504587157
"),",90,354,0.2542372881355932
b,90,422,0.2132701421800948
had,89,576,0.1545138888888889
other,87,519,0.1676300578034682
m,86,264,0.32575757575757575
w,85,260,0.3269230769230769
l,84,318,0.2641509433962264
which,84,732,0.11475409836065574
"""",83,2710,0.030627306273062732
been,83,505,0.16435643564356436
then,81,443,0.18284424379232506
there,81,1028,0.07879377431906615
make,81,486,0.16666666666666666
...,80,505,0.15841584158415842
them,79,494,0.15991902834008098
no,76,705,0.10780141843971631
do,75,504,0.1488095238095238
about,74,940,0.07872340425531915
into,73,554,0.13176895306859207
ing,73,326,0.22392638036809817
man,72,562,0.12811387900355872
after,72,416,0.17307692307692307
go,72,352,0.20454545454545456
would,71,672,0.1056547619047619
what,69,858,0.08041958041958042
c,69,307,0.2247557003257329
going,69,239,0.28870292887029286
being,68,402,0.1691542288557214
t,68,310,0.21935483870967742
ed,68,303,0.22442244224422442
st,68,217,0.31336405529953915
f,67,299,0.22408026755852842
when,65,844,0.07701421800947868
quite,65,228,0.2850877192982456
(,64,1923,0.033281331253250133
back,64,329,0.1945288753799392
if,63,1087,0.05795768169273229
their,63,690,0.09130434782608696
can,61,828,0.07367149758454106
were,60,550,0.10909090909090909
many,59,356,0.16573033707865167
th,59,123,0.4796747967479675
we,58,623,0.09309791332263243
',57,877,0.06499429874572406
how,57,460,0.12391304347826088
before,56,270,0.2074074074074074
&,55,205,0.2682926829268293
;,55,354,0.1553672316384181
also,55,531,0.10357815442561205
years,55,262,0.2099236641221374
course,54,157,0.34394904458598724
g,53,308,0.17207792207792208
un,53,175,0.3028571428571429
've,53,238,0.22268907563025211
let,52,170,0.3058823529411765
his,51,1856,0.02747844827586207
e,51,237,0.21518987341772153
him,51,512,0.099609375
am,51,251,0.20318725099601595
far,50,207,0.24154589371980675
re,50,195,0.2564102564102564
because,50,430,0.11627906976744186
don,49,491,0.09979633401221996
part,49,231,0.21212121212121213
over,48,431,0.11136890951276102
however,48,179,0.2681564245810056
er,48,213,0.22535211267605634
u,47,181,0.2596685082872928
al,47,196,0.23979591836734693
least,46,183,0.25136612021857924
sl,46,102,0.45098039215686275
d,45,398,0.11306532663316583
just,45,988,0.04554655870445344
n,45,239,0.18828451882845187
did,44,311,0.1414790996784566
j,44,221,0.19909502262443438
now,44,266,0.16541353383458646
bit,43,191,0.225130890052356
any,43,462,0.09307359307359307
able,43,213,0.20187793427230047
something,42,258,0.16279069767441862
end,41,332,0.12349397590361445
made,40,459,0.08714596949891068
makes,40,270,0.14814814814814814
between,40,212,0.18867924528301888
v,40,200,0.2
gets,39,206,0.18932038834951456
kind,39,151,0.2582781456953642
her,38,1182,0.032148900169204735
two,38,408,0.09313725490196079
right,38,211,0.18009478672985782
less,38,189,0.20105820105820105
--,38,207,0.18357487922705315
does,37,327,0.11314984709480122
k,37,241,0.15352697095435686
will,37,627,0.05901116427432217
".""",37,127,0.29133858267716534
money,37,144,0.2569444444444444
enough,37,208,0.1778846153846154
fact,37,215,0.17209302325581396
those,37,283,0.13074204946996468
de,37,106,0.3490566037735849
ly,36,309,0.11650485436893204
such,36,289,0.1245674740484429
both,36,205,0.17560975609756097
r,36,285,0.12631578947368421
come,35,191,0.18324607329842932
during,35,139,0.2517985611510791
nothing,34,237,0.14345991561181434
see,34,689,0.04934687953555878
rather,34,177,0.192090395480226
en,34,116,0.29310344827586204
o,34,249,0.13654618473895583
