token,removed_token_count,token_appearance_count,relative_removal
the,24445,42590,0.573961023714487
.,19853,27265,0.7281496423986796
",",16167,33076,0.48878340790905794
a,10358,21295,0.4864052594505753
of,9006,18632,0.4833619579218549
br,8268,15980,0.5173967459324155
to,7914,17244,0.45894224077940154
and,7483,20852,0.3588624592365241
is,6623,14072,0.47065093803297325
.<,5850,6262,0.9342063238581922
it,5537,11782,0.4699541673739603
in,4956,12240,0.40490196078431373
i,4656,9492,0.49051833122629585
this,4601,9220,0.4990238611713666
that,4346,9078,0.47873981053095394
/,3935,8684,0.4531321971441732
-,3740,7317,0.5111384447177805
><,3668,7932,0.46243066061522947
's,3219,8039,0.4004229381763901
"""",2987,6091,0.4903956657363323
film,2920,5618,0.5197579209683161
movie,2566,4809,0.5335828654605947
but,2516,5433,0.46309589545370883
was,2469,4991,0.49469044279703467
with,2358,5633,0.4186046511627907
as,2262,6306,0.3587059942911513
he,2098,3902,0.5376729882111737
(,2072,4163,0.4977179918328129
on,1995,4529,0.44049459041731065
for,1895,5572,0.34009332376166546
/>,1859,7929,0.2344557951822424
are,1763,3891,0.4530968902595734
be,1659,3562,0.465749578888265
who,1642,2721,0.6034546122748989
they,1635,2908,0.562242090784044
have,1520,3276,0.463980463980464
't,1508,3982,0.37870416875941737
an,1487,3044,0.4885019710906702
one,1451,3424,0.4237733644859813
<,1442,1669,0.8639904134212103
by,1423,2990,0.47591973244147157
at,1414,3155,0.44817749603803486
you,1379,4469,0.3085701499216827
his,1330,3789,0.35101609923462657
all,1298,3290,0.3945288753799392
),1232,2120,0.5811320754716981
from,1155,2615,0.4416826003824092
not,1146,3730,0.30723860589812335
so,1086,2510,0.43266932270916336
about,1071,2094,0.5114613180515759
she,972,1859,0.5228617536309844
there,971,2358,0.4117896522476675
',970,1938,0.500515995872033
like,953,2442,0.39025389025389023
story,928,1514,0.6129458388375165
!,927,1472,0.6297554347826086
has,922,2161,0.42665432670060155
up,918,1755,0.5230769230769231
very,905,1717,0.5270821199767035
